number,value,params_alpha,params_beta,params_delta,params_gamma,state,user_attrs_avg_completed_makespan,user_attrs_failed_tasks,user_attrs_num_completed,user_attrs_num_failed,duration
89,10000000000,0.141264606838889,0.229038438777185,2.41973612454922,2.91272786766249,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.211149
90,10000000000,0.0618276903837634,135.72927723641,9.86418324363976,2.85764045816249,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:05.232906
91,10000000000,0.34488447357526,0.566645825180034,9.63356141766068,12.7495870299429,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.579776
92,10000000000,0.110593569008983,0.16508036560577,7.55866042327103,2.8915290847875,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.800919
93,10000000000,0.0247966708773544,80.8468567732378,14.2499810085419,60.2239784648202,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.167534
94,10000000000,7.82344588343868,0.344569001186606,5.09678780956947,3.56279309793579,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.558616
95,10000000000,0.0153572125497611,0.135986427574469,7.79884537510554,50.5836920292249,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.360941
96,10000000000,0.226335449810324,0.149427173446,6.31565832597624,11.4934720998032,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.775799
97,10000000000,0.294393874133697,135.481013684192,9.63139859645886,14.4075233386493,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.296585
98,10000000000,0.0535502712977333,10.6937152857493,3.41878220265396,0.155922296828772,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.232272
99,10000000000,0.881740806476554,14.5968561851502,13.6211408415167,0.0128125516730755,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.521144
100,10000000000,0.0107464026651093,0.215013948778931,12.2265058162715,0.0349209649513042,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.511333
101,10000000000,0.0443481438355425,1.81883654054597,14.7952699559224,0.0500083024609706,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.698806
102,10000000000,0.02030423525985,7.25170606558489,9.14344965445147,0.0102459890325343,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:05.641411
103,10000000000,0.892175403158017,10.7710234642869,9.64302615026216,27.3336942434982,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:05.800768
104,10000000000,0.0248742681273633,1.14188132301493,6.14937345894604,6.38214319388126,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.339426
105,10000000000,0.0985839047911814,1.23730683508329,5.81365530789635,0.949975861911689,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:05.985698
106,10000000000,0.0100864388743352,1.16623132642461,11.0721861245505,0.0187613820611067,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.693013
107,10000000000,0.133170741522047,29.1364178154399,9.27266110193777,0.0698857136915969,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.561845
108,10000000000,0.0305382153150812,15.2328178283744,14.3103868819733,0.0152402880515671,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.015692
109,10000000000,1.10619925688377,0.697047218121705,4.44863087212182,0.0603931014174681,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.501154
110,10000000000,0.372384897094649,0.126218900618169,0.651986248016606,1.60912295707364,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.923654
111,10000000000,0.0156578245683427,7.4528597017,11.6949071024636,0.107672049175208,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.427005
112,10000000000,0.0408901611687727,3.92967065444812,13.1009898147007,0.0212191993803259,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.994360
113,10000000000,0.117200374439579,23.8489886278886,6.09627528677039,0.140823034512416,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.266042
114,10000000000,0.0231124167494942,0.352734113169218,11.1517258480795,2.04643563111569,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:06.370993
115,10000000000,0.0975717551967486,0.107183914171617,14.9901569779494,0.0112828006744785,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.335396
116,10000000000,0.217947606757709,3.37043971523554,7.11462148463318,0.0971111997618002,COMPLETE,,"[""complex3_12subtasks(dc1, dnc2, dnc3, nd(2, 3))""]",0,1,00:03:07.020000
